method,obj_id,n_results,ADD_mean,ADD_median,ADD_std,ADD_S_mean,ADD_S_median,ADD_S_std,rotation_error_deg_mean,rotation_error_deg_median,rotation_error_deg_std,translation_error_mean,translation_error_median,translation_error_std,inlier_ratio_mean,inlier_ratio_median,inlier_ratio_std,model_build_time_mean,model_build_time_median,model_build_time_std,registration_time_mean,registration_time_median,registration_time_std,total_time_mean,total_time_median,total_time_std,candidate_inflation_mean_mean,candidate_inflation_mean_median,candidate_inflation_mean_std,kde_refine_calls_mean,kde_refine_calls_median,kde_refine_calls_std,ADD_S_lt_2_count,ADD_S_lt_2_rate,ADD_S_lt_5_count,ADD_S_lt_5_rate,ADD_S_lt_10_count,ADD_S_lt_10_rate,ADD_S_lt_20_count,ADD_S_lt_20_rate,throughput_cases_per_hour
baseline,11,500,92.72112365160731,89.55889773206306,191.32339890456518,35.269504362542854,17.172884722535994,188.9078198855916,135.08458842951512,160.72747671662523,51.81234676540115,63.050520735776665,45.69070237181329,194.3367335151746,0.14798009950248758,0.14266900790166814,0.08510928571499882,1.4173705760389566,1.407622117549181,0.03046612211944264,17.475959599807858,18.36042094230652,6.668631334374782,18.89486425487697,19.766904581338167,6.671478766923361,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,31,0.062,112,0.224,285,0.57,190.52796312473114
ours,11,500,69.0058564060184,49.348520716972445,179.88140718185477,23.956652451913758,6.045869550958079,176.49299901829286,137.26685143502624,169.14443387838003,58.738768374365684,36.34665069865467,11.597730115096194,182.1620563092838,0.24833772314896105,0.2585601404741001,0.122801888335108,2.2313963931500913,2.2127773202955723,0.08416084071177024,3.753904668793082,3.795426305383444,1.298708773680324,5.986790905341506,6.050310984253883,1.3019264109131408,16.95768511056644,16.855691415370302,4.354114733946433,0.0,0.0,0.0,2,0.004,193,0.386,337,0.674,405,0.81,601.3238238850175
ours_no_pose_pipeline,11,500,86.58605520129116,66.9533440064391,191.9726403333159,32.039000048298306,13.36207587108343,189.12936576360968,141.638122013891,165.89092983445818,50.628489565392236,55.078610348658046,31.678623344012372,195.08065300911372,0.1754568334796605,0.17998244073748904,0.09704509008316355,2.2042184909433127,2.1954777389764786,0.06849370318123613,2.9348935190290213,2.899870492517948,1.1552284590226556,5.140531224295497,5.111684966832399,1.1572727429092473,16.95768511056644,16.855691415370302,4.354114733946433,0.0,0.0,0.0,1,0.002,50,0.1,187,0.374,339,0.678,700.3167266031684
ours_no_robustvote,11,500,68.63708446679641,49.26687590316406,179.89127910250335,23.635832085427314,6.2474167910271206,176.39935264003887,136.12306523794854,168.87751596501727,59.96886206546468,35.96669010659439,11.661074640394965,182.06059437957134,0.24781621305238513,0.25797483172373425,0.12388271640703888,2.242246938303113,2.2316209115087986,0.08503347310508516,2.100061106041074,2.16599565371871,0.6278303791423007,4.343994556874037,4.380687426775694,0.6359540494786597,16.95768511056644,16.855691415370302,4.354114733946433,0.0,0.0,0.0,2,0.004,191,0.382,335,0.67,407,0.814,828.7303201849728
ours_no_rsmrq,11,500,74.24919502710071,50.213358025317504,190.7488922136044,27.25428242092999,7.313500827766253,187.21363804363048,135.62133860203568,169.32284166024414,60.210583060959394,41.94013390693895,15.070890643916968,193.3938253452108,0.23755867720222415,0.24817091015510684,0.11941566324353754,1.8253917034864426,1.8104821592569351,0.13454014226333444,1.921470391049981,1.9817994832992554,0.483138711588902,3.748398244813085,3.7998457178473473,0.5013633320385298,1.0,1.0,0.0,0.0,0.0,0.0,1,0.002,154,0.308,303,0.606,403,0.806,960.4102245489968
baseline,12,500,81.62867803120163,84.30542775545902,18.540576903591425,21.43718490885607,20.79893799631761,10.10240599678634,125.44874201750561,138.740489142146,45.69214029599874,47.393980854408866,47.890494423437254,22.05145339694181,0.12211432706222865,0.11591895803183791,0.053425678116191595,4.710866170719266,4.692050322890282,0.07733332157742828,45.152908873260024,43.426743660122156,10.004785994085617,49.86627607743442,48.094496577978134,10.00153494222124,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,2,0.004,69,0.138,239,0.478,72.1930788336745
ours,12,500,44.31032753792513,32.06629700046323,32.43949281958972,6.502271321745057,5.648437365580056,3.2960427665950034,79.31721069541966,34.24271435698206,74.56187912255623,13.388213287506037,11.648528929994612,8.451202428691271,0.2757264833574529,0.27742402315484804,0.0649508240299655,8.313159706667065,8.318266928195953,0.3052778586767725,3.3745519983917474,3.2874193862080574,0.5709390285233189,11.690105587035417,11.591022338718176,0.6450865588649626,36.14181711648676,36.30878304587125,2.8712999923844698,0.0,0.0,0.0,0,0.0,181,0.362,452,0.904,496,0.992,307.95273602938875
ours_no_pose_pipeline,12,500,67.04550682619735,77.79378951229603,27.06645036532039,14.395131601300006,11.078625760319213,8.902453287686818,109.40086758174823,119.8620754368303,61.544891746743396,31.699160797089053,25.419819657487288,20.841078762736778,0.17586512301013024,0.17373371924746744,0.06687652913366483,7.657504603087902,7.652810879051685,0.23882217780638154,2.903391685411334,2.824311800301075,0.5066774928690282,10.563301809221507,10.46771577373147,0.5565740563485798,36.14181711648676,36.30878304587125,2.8712999923844698,0.0,0.0,0.0,0,0.0,29,0.058,214,0.428,384,0.768,340.8025317289796
ours_no_robustvote,12,500,44.95840962013064,32.958736956411585,32.427629298758596,6.580866768899041,5.69576261607118,3.311767935531087,80.7742400216941,38.5279224857341,74.55650323991343,13.496002160632957,11.688497047426553,8.45634870967374,0.2738743849493488,0.27698986975397977,0.06436983260934385,8.58925561079383,8.600093852728605,0.24052822635548093,1.5003497234284877,1.4678852781653404,0.2074018862155757,10.092063175797463,10.087380409240723,0.3210338278665616,36.14181711648676,36.30878304587125,2.8712999923844698,0.0,0.0,0.0,0,0.0,179,0.358,449,0.898,496,0.992,356.7159595902482
ours_no_rsmrq,12,500,52.41644191906538,59.974276512394695,30.146434699950476,8.111547819283807,7.42371993244768,4.059869180992475,90.93238662788782,83.84807635899693,69.37395718567797,17.049404025959454,14.7673749614219,10.320635470671942,0.24676874095513746,0.24703328509406658,0.06117910964022394,6.848768442898988,6.867657348513603,0.23337144251876565,1.199855925321579,1.1703315004706383,0.1725439697240541,8.051342566773295,8.045988604426384,0.30118010170685033,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,96,0.192,403,0.806,490,0.98,447.1303972155737
